"model_id","term","estimate","standard_error","lower","upper","z_value","p_value","confidence_level"
"M_DPRR","map_rcs2",0.0638634527203293,0.0575452658666044,-0.0489231958589973,0.176650101299656,1.1097950762513,0.267087341517198,0.95
"M_DPRR","vasopressor",0.0243690688726374,0.0570185796072566,-0.0873852936072156,0.13612343135249,0.427388213464651,0.669096590846943,0.95
"M_DPRR","platelet_rcs1",-0.904160980532891,0.108378120269932,-1.11657819297411,-0.691743768091673,-8.34265235714497,7.26424847021672e-17,0.95
"M_DPRR","platelet_rcs2",-0.00843500115262518,0.0461778041424568,-0.098941834156985,0.0820718318517346,-0.182663539535217,0.855062025604051,0.95
"M_DPRR","creatinine_rcs1",2.15536998496925,0.136795888011179,1.88725497123416,2.42348499870433,15.7561021482832,6.23625806659289e-56,0.95
"M_DPRR","creatinine_rcs2",0.915521964128751,0.0513869511355619,0.81480539062773,1.01623853762977,17.8162343532222,5.28784568094104e-71,0.95
"M_DPRR","driving_pressure",0.0352933740943165,0.00653232834084705,0.022490245811066,0.048096502377567,5.40287815504081,6.55800089061611e-08,0.95
"M_DPRR","rr",0.102568923406172,0.00522366778883385,0.0923307226728561,0.112807124139489,19.6354223799271,7.70375856194892e-86,0.95
"M_ENERGY","(Intercept)",-2.82264503811603,0.130987242356387,-3.07937531556877,-2.56591476066329,-21.5490072722979,5.4094327510886e-103,0.95
"M_ENERGY","age_rcs1",0.723386863947106,0.10226748118463,0.522946284035604,0.923827443858609,7.07347883772682,1.51096975025259e-12,0.95
"M_ENERGY","age_rcs2",0.887181016928073,0.06542326861744,0.758953766687,1.01540826716914,13.5606342464457,6.85408568982544e-42,0.95
"M_ENERGY","sex_female",0.552447568596842,0.0533320766735216,0.447918619096011,0.656976518097673,10.3586359852198,3.82375867797866e-25,0.95
"M_ENERGY","pf_ratio_rcs1",-0.442496106872587,0.121066411271281,-0.679781912701812,-0.205210301043363,-3.65498656667917,0.000257195444556239,0.95
"M_ENERGY","pf_ratio_rcs2",-0.194181954540798,0.0731169435355702,-0.337488530530165,-0.0508753785514318,-2.65577231693679,0.00791270182281582,0.95
